Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category
7333304,Garage & Car Care,Car Accessories,Midwest,Fields Sales,45,Loss,4,26,26,50000,1,1,0,Unknown,0.194656,0.805344,0,4
7333318,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,46,Won,7,25,19,928361,5,5,4,Unknown,0.166008,0.16996,0.418972,7
7333332,Replacement Parts,Car Accessories,Pacific,Reseller,53,Loss,4,11,11,1000,1,1,0,Unknown,0,1,0,1
7333345,Replacement Parts,Car Accessories,Pacific,Fields Sales,62,Loss,3,9,9,5000,1,1,0,Unknown,0.144444,0.855556,0,1
7333385,Exterior Accessories,Car Accessories,Midwest,Reseller,60,Loss,4,9,9,5000,2,2,0,Unknown,0,1,0,1
7333439,Garage & Car Care,Car Accessories,Midwest,Reseller,48,Loss,3,24,24,45000,1,3,0,Unknown,0,0.317797,0.682203,3
7333482,Garage & Car Care,Car Accessories,Pacific,Reseller,48,Loss,3,24,24,45000,1,1,0,Unknown,0,0.224576,0.775424,3
7333484,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,65,Won,4,5,5,70000,1,3,0,Known,0,0.361702,0.638298,4
7333512,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,5,Loss,7,66,66,40000,5,4,0,Known,0,0.193062,0.806938,3
7333865,Exterior Accessories,Car Accessories,Midwest,Reseller,66,Won,2,6,6,336000,1,1,3,Unknown,0,1,0,6
7335616,Garage & Car Care,Car Accessories,Pacific,Reseller,44,Loss,2,28,28,31002,1,1,0,Unknown,1,0,0,3
7335653,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,44,Loss,2,28,28,31002,1,1,0,Unknown,1,0,0,3
7335692,Exterior Accessories,Car Accessories,Midwest,Reseller,41,Loss,2,30,30,61349,4,1,0,Unknown,0,1,0,4
7335709,Exterior Accessories,Car Accessories,Midwest,Reseller,55,Won,4,15,9,28000,1,3,0,None,0,0.61039,0,3
7335732,Batteries & Accessories,Car Accessories,Midwest,Reseller,57,Loss,2,14,14,153374,1,1,0,Unknown,1,0,0,5
7335762,Exterior Accessories,Car Accessories,Midwest,Reseller,44,Loss,3,28,28,8000,2,3,0,Unknown,0.007273,0,0.992727,1
7335788,Replacement Parts,Car Accessories,Midwest,Reseller,49,Loss,4,22,22,30000,1,1,0,Unknown,0.118721,0.881279,0,3
7335831,Exterior Accessories,Car Accessories,Pacific,Reseller,14,Loss,3,46,46,28344,1,1,0,Unknown,0,1,0,3
7335855,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,23,Loss,3,48,48,67484,4,3,0,Known,0.153846,0.846154,0,4
7335868,Exterior Accessories,Car Accessories,Pacific,Reseller,31,Loss,2,40,40,7750,1,1,0,Unknown,0,1,0,1
7335874,Shelters & RV,Performance & Non-auto,Pacific,Other,58,Loss,2,13,13,775000,4,1,0,None,1,0,0,7
7335895,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,49,Loss,2,22,22,44000,1,1,0,None,0,1,0,3
7335925,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,53,Loss,2,18,18,200000,5,3,0,Unknown,0,1,0,5
7335936,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,67,Won,3,2,2,0,4,3,0,Unknown,0,1,0,1
7335938,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,61,Won,3,11,11,9716,5,4,0,Known,0,0.866667,0.133333,1
7335952,Interior Accessories,Car Accessories,Pacific,Telecoverage,58,Loss,2,14,14,0,1,1,0,Unknown,1,0,0,1
7335987,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,64,Loss,2,7,7,150000,1,4,0,Unknown,1,0,0,5
7335993,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,60,Loss,3,11,11,50000,1,1,0,Unknown,0.862385,0.137615,0,4
7336001,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,65,Loss,2,6,6,150000,1,4,0,Unknown,1,0,0,5
7336009,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,45,Loss,3,26,26,125000,1,1,0,Unknown,0.25,0.75,0,5
7336016,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,65,Loss,2,6,6,150000,4,4,0,Unknown,1,0,0,5
7336021,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,65,Loss,3,6,6,150000,2,3,0,Unknown,0.421053,0.578947,0,5
7336027,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,41,Loss,2,30,30,107000,4,2,0,Known,0,0,1,5
7336057,Garage & Car Care,Car Accessories,Midwest,Fields Sales,68,Loss,2,0,0,100000,5,1,0,Unknown,0,0,0,5
7336058,Batteries & Accessories,Car Accessories,Midwest,Reseller,33,Loss,3,39,39,150000,1,1,0,Unknown,0.020779,0.979221,0,5
7336064,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,42,Won,4,11,4,10000,1,1,4,Unknown,0,0.358491,0,2
7336065,Garage & Car Care,Car Accessories,Midwest,Fields Sales,26,Loss,3,6,6,100000,5,4,0,Unknown,1,0,0,5
7336121,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,43,Won,3,7,7,120600,1,1,0,Unknown,0,0,1,5
7336130,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,9,Won,5,51,51,110000,4,1,0,None,0.293069,0.59802,0.108911,5
7336144,Garage & Car Care,Car Accessories,Pacific,Fields Sales,60,Loss,2,11,11,10000,1,1,0,Unknown,0,1,0,2
7336224,Replacement Parts,Car Accessories,Pacific,Other,58,Loss,3,13,13,100000,1,1,0,Unknown,0.984252,0.015748,0,5
7336256,Batteries & Accessories,Car Accessories,Midwest,Reseller,63,Loss,4,8,8,0,3,3,0,Unknown,0.309524,0.690476,0,1
7336270,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,64,Loss,2,7,7,70000,1,5,0,Known,0,1,0,4
7336274,Interior Accessories,Car Accessories,Pacific,Reseller,44,Loss,2,28,28,10000,1,1,0,Unknown,0,1,0,2
7336347,Replacement Parts,Car Accessories,Pacific,Other,65,Loss,2,6,6,10000,1,1,0,Unknown,0,1,0,2
7336348,Garage & Car Care,Car Accessories,Midwest,Reseller,55,Loss,2,16,16,48000,1,1,0,Unknown,0,1,0,3
7336352,Shelters & RV,Performance & Non-auto,Pacific,Other,64,Won,4,7,2,300000,1,1,0,Known,0,0.028571,0.228571,6
7336354,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,67,Loss,2,5,5,150000,4,4,4,Unknown,0,1,0,5
7336374,Replacement Parts,Car Accessories,Pacific,Other,71,Loss,2,0,0,5000,1,1,0,Unknown,0,1,0,1
7336375,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,48,Loss,2,23,23,125000,5,3,0,Unknown,0,1,0,5
7336388,Exterior Accessories,Car Accessories,Midwest,Reseller,71,Loss,2,0,0,45000,3,4,0,Unknown,0,1,0,3
7336397,Interior Accessories,Car Accessories,Pacific,Fields Sales,70,Won,2,1,1,5600,1,1,0,None,0,0,1,1
7336401,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,35,Loss,3,37,37,400000,3,3,0,Unknown,0.005479,0.994521,0,6
7336412,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,71,Loss,2,0,0,80000,1,1,0,Unknown,1,0,0,4
7336432,Replacement Parts,Car Accessories,Midwest,Fields Sales,37,Loss,3,35,35,110000,1,3,0,Unknown,0.107246,0.892754,0,5
7338676,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,64,Won,5,7,1,251000,1,1,0,Unknown,0,0.014493,0.130435,6
7338698,Performance Parts,Performance & Non-auto,Midwest,Reseller,71,Won,1,0,0,33200,1,1,0,Unknown,0,0,0,3
7338711,Batteries & Accessories,Car Accessories,Midwest,Reseller,71,Won,1,0,0,8600,1,4,0,Unknown,0,0,0,1
7338712,Garage & Car Care,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,31002,1,1,0,Unknown,1,0,0,3
7338728,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,26,Loss,2,46,46,23252,1,1,0,Unknown,1,0,0,2
7338732,Replacement Parts,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,15501,1,1,0,Unknown,1,0,0,2
7338735,Garage & Car Care,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,31002,1,1,0,Unknown,1,0,0,3
7338740,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,12447,1,1,0,Unknown,1,0,0,2
7338748,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,15774,1,1,0,Unknown,1,0,0,2
7338757,Garage & Car Care,Car Accessories,Midwest,Reseller,71,Won,1,0,0,4000,4,2,0,Unknown,0,0,0,1
7338790,Exterior Accessories,Car Accessories,Midwest,Reseller,53,Loss,3,18,18,122699,4,1,2,Unknown,0,0.005495,0.994505,5
7338828,Performance Parts,Performance & Non-auto,Pacific,Reseller,55,Loss,2,16,16,15501,1,4,0,Unknown,1,0,0,2
7338829,Performance Parts,Performance & Non-auto,Pacific,Reseller,53,Loss,2,18,18,15501,3,2,0,Unknown,1,0,0,2
7338843,Performance Parts,Performance & Non-auto,Midwest,Reseller,61,Loss,2,10,10,5000,1,1,0,Unknown,0,1,0,1
7338850,Performance Parts,Performance & Non-auto,Pacific,Reseller,44,Loss,2,27,27,15501,1,1,0,Unknown,1,0,0,2
7338854,Batteries & Accessories,Car Accessories,Midwest,Reseller,45,Loss,3,22,22,5000,4,4,0,Unknown,0,1,0,1
7338859,Batteries & Accessories,Car Accessories,Midwest,Reseller,67,Loss,2,4,4,5000,3,2,0,Unknown,0,1,0,1
7338889,Batteries & Accessories,Car Accessories,Midwest,Reseller,63,Loss,2,8,8,5000,1,1,0,Unknown,0,1,0,1
7338936,Replacement Parts,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,31002,1,1,0,Unknown,0,1,0,3
7338938,Exterior Accessories,Car Accessories,Midwest,Reseller,40,Loss,8,31,31,118800,2,5,0,Unknown,0,0.744337,0.249191,5
7339036,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,58,Loss,2,13,13,400000,4,5,0,Unknown,0,1,0,6
7339064,Motorcycle Parts,Performance & Non-auto,Midwest,Other,51,Loss,2,20,20,400000,4,5,0,Unknown,0,1,0,6
7339083,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,62,Loss,2,9,9,80000,5,4,0,Unknown,0,1,0,4
7339084,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,63,Loss,2,8,8,25000,2,1,0,Unknown,0,1,0,3
7339092,Exterior Accessories,Car Accessories,Midwest,Fields Sales,59,Loss,3,13,13,120000,3,1,0,Unknown,0,0.616,0.384,5
7339104,Exterior Accessories,Car Accessories,Pacific,Fields Sales,59,Loss,2,12,12,387536,1,1,0,Unknown,0,1,0,6
7339110,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,40,Won,3,31,25,30000,1,1,1,Unknown,0,0.815534,0,3
7339124,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,71,Won,2,0,0,71232,4,1,4,Known,0,0,1,4
7339125,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,63,Loss,2,8,8,75000,1,1,0,Unknown,0,1,0,4
7339143,Interior Accessories,Car Accessories,Pacific,Fields Sales,53,Won,5,9,8,7789,1,1,0,None,0,0.022727,0.863636,1
7339186,Car Electronics,Car Electronics,Pacific,Other,58,Loss,2,13,13,500000,1,1,0,Unknown,0,1,0,7
7339191,Exterior Accessories,Car Accessories,Pacific,Reseller,27,Loss,4,3,3,5000,2,3,0,Unknown,0.9,0.1,0,1
7339192,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,63,Loss,2,8,8,6000,1,4,0,Unknown,0,1,0,1
7339194,Exterior Accessories,Car Accessories,Midwest,Fields Sales,66,Loss,2,5,5,120000,1,4,0,Known,0,1,0,5
7339282,Exterior Accessories,Car Accessories,Pacific,Other,52,Loss,4,19,19,108510,3,4,0,Known,0.015789,0.615789,0.368421,5
7339285,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,56,Loss,2,15,15,50000,3,3,0,Unknown,1,0,0,4
7339288,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,58,Loss,4,13,13,110000,1,1,0,Unknown,0.014925,0.985075,0,5
7339290,Exterior Accessories,Car Accessories,Pacific,Other,50,Loss,3,21,21,70000,1,1,0,Known,0.014218,0.985782,0,4
7339302,Performance Parts,Performance & Non-auto,Pacific,Fields Sales,66,Loss,2,5,5,275000,1,3,0,Known,0,1,0,6
7339318,Garage & Car Care,Car Accessories,Northwest,Fields Sales,65,Loss,3,6,6,37349,5,2,0,Known,0,0.344828,0.655172,3
7339319,Interior Accessories,Car Accessories,Midwest,Fields Sales,66,Loss,4,5,5,1,1,5,0,None,0.72549,0.27451,0,1
7339331,Performance Parts,Performance & Non-auto,Pacific,Fields Sales,65,Loss,2,6,6,120000,1,1,0,Unknown,1,0,0,5
7339351,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,58,Won,3,13,8,13600,5,5,3,None,0,0.596899,0,2
7339359,Tires & Wheels,Tires & Wheels,Pacific,Fields Sales,66,Loss,2,5,5,250000,1,2,0,Known,1,0,0,6
7339361,Batteries & Accessories,Car Accessories,Midwest,Reseller,62,Loss,4,7,7,15000,4,3,0,Unknown,0,0.8,0.2,2
7339456,Replacement Parts,Car Accessories,Northwest,Fields Sales,67,Loss,2,4,4,6387,5,3,0,Unknown,1,0,0,1
7339481,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,60,Loss,2,12,12,150000,5,2,0,Unknown,0,1,0,5
7339488,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,18,Loss,2,53,53,150000,5,5,4,Unknown,0,1,0,5
7339500,Replacement Parts,Car Accessories,Pacific,Reseller,54,Loss,2,17,17,5000,1,1,0,Unknown,0,1,0,1
7339502,Garage & Car Care,Car Accessories,Midwest,Reseller,67,Won,3,4,4,517,1,3,1,Unknown,0.953488,0.046512,0,1
7339504,Replacement Parts,Car Accessories,Pacific,Fields Sales,71,Loss,2,0,0,10000,1,1,0,Unknown,0,1,0,2
7339511,Interior Accessories,Car Accessories,Pacific,Fields Sales,7,Loss,2,64,64,38753,1,1,0,None,1,0,0,3
7339527,Replacement Parts,Car Accessories,Pacific,Reseller,32,Loss,3,39,39,93008,1,1,0,Unknown,0,0.023018,0.976982,4
7339537,Shelters & RV,Performance & Non-auto,Northwest,Fields Sales,69,Loss,2,2,2,50000,4,4,0,Unknown,0,1,0,4
7339552,Exterior Accessories,Car Accessories,Northwest,Fields Sales,66,Won,3,2,2,2631,3,1,0,Unknown,0,1,0,1
7339557,Car Electronics,Car Electronics,Pacific,Other,62,Loss,2,9,9,1000000,5,3,0,Unknown,0,1,0,7
7339564,Exterior Accessories,Car Accessories,Pacific,Telesales,45,Loss,2,26,26,155000,1,1,0,Unknown,1,0,0,5
7339584,Batteries & Accessories,Car Accessories,Pacific,Other,71,Loss,2,0,0,70000,1,5,0,Unknown,0,0,1,4
7339593,Batteries & Accessories,Car Accessories,Pacific,Other,63,Loss,3,7,7,100000,1,1,0,None,0,0,1,5
7339595,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,43,Loss,2,28,28,150000,3,4,0,Known,0,1,0,5
7339606,Replacement Parts,Car Accessories,Midwest,Fields Sales,68,Won,3,0,0,500,5,1,3,Unknown,0,1,0,1
7339616,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,44,Loss,3,27,27,102000,1,1,0,Unknown,0.579926,0.420074,0,5
7339674,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,18,Loss,3,39,39,400000,1,5,0,Unknown,0,1,0,6
7339684,Exterior Accessories,Car Accessories,Northwest,Telesales,24,Loss,2,47,47,150000,1,2,0,Unknown,1,0,0,5
7339694,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,54,Loss,2,17,17,50000,1,4,0,Unknown,1,0,0,4
7339695,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,46,Won,5,25,24,216000,4,5,4,Unknown,0.040486,0.255061,0.672065,5
7339730,Garage & Car Care,Car Accessories,Midwest,Fields Sales,55,Won,7,14,13,8800,5,4,2,Unknown,0,0.201439,0.733813,1
7339747,Replacement Parts,Car Accessories,Midwest,Reseller,38,Loss,5,5,5,9000,4,5,0,None,0,0.9,0.1,1
7342756,Exterior Accessories,Car Accessories,Midwest,Reseller,40,Loss,3,22,22,5000,2,2,0,Unknown,0,1,0,1
7342805,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,49,Loss,2,22,22,40000,5,5,0,Unknown,0,1,0,3
7342855,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,3,27,27,193768,1,1,0,Unknown,0.391941,0.608059,0,5
7342869,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,3,27,27,193768,1,1,0,Unknown,0,0.003663,0.996337,5
7342891,Garage & Car Care,Car Accessories,Pacific,Reseller,67,Loss,2,4,4,31002,4,4,0,Unknown,0,1,0,3
7342913,Exterior Accessories,Car Accessories,Pacific,Reseller,66,Loss,2,5,5,232522,1,5,0,Unknown,0,1,0,5
7342931,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,59,Loss,2,12,12,31002,1,1,0,Unknown,0,1,0,3
7342936,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,31002,1,1,0,Unknown,1,0,0,3
7342937,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,15501,1,5,0,Unknown,1,0,0,2
7342944,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,15501,1,1,0,Unknown,1,0,0,2
7342953,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,38753,1,1,0,Unknown,1,0,0,3
7342958,Exterior Accessories,Car Accessories,Pacific,Reseller,31,Loss,4,29,29,23252,1,1,0,Unknown,1,0,0,2
7342960,Exterior Accessories,Car Accessories,Pacific,Reseller,35,Loss,4,26,26,15501,1,1,0,Unknown,1,0,0,2
7342966,Exterior Accessories,Car Accessories,Pacific,Reseller,16,Loss,5,44,44,62005,1,1,0,Unknown,1,0,0,4
7342967,Interior Accessories,Car Accessories,Pacific,Reseller,71,Loss,2,0,0,4124,1,1,0,Unknown,0,0,0,1
7342972,Exterior Accessories,Car Accessories,Pacific,Reseller,55,Loss,2,16,16,30000,3,1,0,Unknown,1,0,0,3
7342973,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,7750,1,1,0,Unknown,1,0,0,1
7342980,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,7500,2,5,0,Unknown,1,0,0,1
7342986,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,38753,1,1,0,Unknown,1,0,0,3
7342994,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,15501,1,1,0,Unknown,1,0,0,2
7342997,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,71,Won,1,0,0,290000,5,5,2,Unknown,0,0,0,6
7343002,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Loss,2,24,24,77507,1,1,0,Unknown,1,0,0,4
7343005,Shelters & RV,Performance & Non-auto,Midwest,Reseller,69,Won,2,2,2,6000,3,3,0,Unknown,0,1,0,1
7343036,Interior Accessories,Car Accessories,Pacific,Reseller,71,Won,1,0,0,465044,5,5,2,Unknown,0,0,0,6
7343087,Performance Parts,Performance & Non-auto,Midwest,Reseller,39,Won,3,32,32,57000,1,1,0,Unknown,0,0.725552,0.274448,4
7343109,Interior Accessories,Car Accessories,Pacific,Reseller,70,Won,3,1,0,4124,1,1,0,Unknown,0,0.142857,0,1
7343144,Exterior Accessories,Car Accessories,Pacific,Fields Sales,3,Loss,3,68,0,5000,5,4,0,Unknown,0,0,0.002954,1
7343160,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,13,Loss,5,58,58,306748,1,1,4,Known,0.725217,0.274783,0,6
7343175,Interior Accessories,Car Accessories,Midwest,Fields Sales,55,Loss,2,16,16,61349,4,2,0,Unknown,1,0,0,4
7343180,Exterior Accessories,Car Accessories,Pacific,Fields Sales,29,Loss,3,42,42,100000,1,1,0,Unknown,0.605263,0.394737,0,5
7343188,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,44,Loss,3,27,27,139513,3,5,0,Unknown,0.10219,0.89781,0,5
7343193,Performance Parts,Performance & Non-auto,Midwest,Fields Sales,67,Loss,2,4,4,70000,5,2,0,Known,0,0,1,4
7343198,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,16,Loss,4,55,55,306748,1,1,0,Unknown,0.555963,0.444037,0,6
7343212,Garage & Car Care,Car Accessories,Midwest,Reseller,67,Won,3,4,4,13928,3,1,0,Unknown,0,0.025,0.975,2
7343234,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,66,Loss,2,5,5,245398,1,1,0,Known,1,0,0,5
7343237,Batteries & Accessories,Car Accessories,Pacific,Other,44,Loss,3,27,27,150000,5,5,0,Unknown,0.007299,0.992701,0,5
7343258,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,55,Loss,2,16,16,500000,1,1,0,Unknown,1,0,0,7
7343302,Batteries & Accessories,Car Accessories,Midwest,Other,16,Loss,6,41,41,130000,5,5,0,Unknown,0.334146,0.660976,0.004878,5
7343303,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,60,Loss,2,11,11,300000,5,5,0,Unknown,0,1,0,6
7343304,Exterior Accessories,Car Accessories,Midwest,Fields Sales,70,Loss,2,1,1,9202,2,1,0,Unknown,1,0,0,1
7343319,Interior Accessories,Car Accessories,Pacific,Fields Sales,48,Loss,2,23,23,50000,5,2,0,None,1,0,0,4
7343324,Interior Accessories,Car Accessories,Midwest,Fields Sales,63,Loss,2,8,8,131000,5,4,0,Unknown,1,0,0,5
7343339,Exterior Accessories,Car Accessories,Midwest,Fields Sales,53,Loss,2,18,18,20220,2,1,0,Unknown,1,0,0,2
7343375,Exterior Accessories,Car Accessories,Midwest,Fields Sales,28,Loss,5,36,36,200000,4,5,0,Known,0.070423,0.929577,0,5
7343388,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,41,Loss,8,13,13,30000,1,1,0,Known,0.203008,0.548872,0.24812,3
7343420,Batteries & Accessories,Car Accessories,Pacific,Telecoverage,25,Won,4,2,2,54000,1,1,0,Unknown,0.866667,0.133333,0,4
7343422,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,71,Won,1,0,0,16128,1,1,3,Unknown,0,0,0,2
7343435,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,62,Loss,3,9,9,15000,1,2,4,Unknown,0.151163,0.848837,0,2
7343446,Garage & Car Care,Car Accessories,Pacific,Other,66,Loss,4,5,5,7000,1,1,0,Unknown,0.102041,0.897959,0,1
7343472,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,16,Loss,2,55,55,109000,5,1,0,Unknown,1,0,0,5
7343486,Exterior Accessories,Car Accessories,Midwest,Fields Sales,55,Won,5,16,16,115000,1,4,0,Unknown,0.310559,0.167702,0.521739,5
7343500,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,57,Loss,2,14,14,150000,5,2,4,Unknown,0,1,0,5
7343516,Exterior Accessories,Car Accessories,Midwest,Fields Sales,43,Loss,3,28,28,20000,4,1,0,Unknown,0,0.992883,0.007117,2
7343533,Performance Parts,Performance & Non-auto,Midwest,Fields Sales,49,Loss,2,22,22,1800,3,3,0,Known,0,1,0,1
7343548,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,70,Loss,2,1,1,40000,1,2,0,Unknown,0,1,0,3
7343584,Exterior Accessories,Car Accessories,Pacific,Fields Sales,53,Loss,2,18,18,0,1,1,0,Unknown,1,0,0,1
7343640,Garage & Car Care,Car Accessories,Pacific,Telesales,67,Loss,2,4,4,2500,1,1,0,None,0,1,0,1
7343688,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,36,Loss,7,35,35,200000,5,5,0,Known,0.604046,0.395954,0,5
7343692,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,47,Loss,2,24,24,200000,1,1,0,Known,0,1,0,5
7343736,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,46,Won,7,23,21,500001,5,5,0,None,0.317181,0.215859,0.400881,7
7343737,Exterior Accessories,Car Accessories,Midwest,Fields Sales,65,Loss,2,6,6,50000,2,3,0,Known,1,0,0,4
7343774,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,48,Loss,3,23,23,400000,5,5,0,Known,0,0.123894,0.876106,6
7343779,Exterior Accessories,Car Accessories,Midwest,Fields Sales,64,Loss,3,7,7,50000,4,2,0,Unknown,0.043478,0.956522,0,4
7343816,Exterior Accessories,Car Accessories,Pacific,Fields Sales,64,Loss,2,7,7,500000,1,1,4,Unknown,1,0,0,7
7343865,Garage & Car Care,Car Accessories,Midwest,Reseller,64,Loss,2,7,7,20000,3,4,0,Known,0,1,0,2
7343871,Interior Accessories,Car Accessories,Pacific,Fields Sales,65,Loss,2,0,0,250000,1,1,0,Unknown,0,0,0,6
7343909,Shelters & RV,Performance & Non-auto,Midwest,Reseller,66,Loss,2,5,5,20000,3,4,0,Known,0,1,0,2
7343925,Interior Accessories,Car Accessories,Northwest,Fields Sales,66,Loss,2,5,5,950000,4,5,0,Unknown,0,0,1,7
7343929,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,60,Loss,3,11,11,60000,3,2,0,Known,0.675439,0,0.324561,4
7343933,Replacement Parts,Car Accessories,Midwest,Reseller,62,Loss,2,9,9,5000,4,3,0,Unknown,0,1,0,1
7343967,Shelters & RV,Performance & Non-auto,Pacific,Other,67,Won,3,4,4,290000,1,5,1,Known,0,0.2,0.8,6
7343976,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,6,Loss,6,65,65,100000,1,5,0,Known,0.003072,0.248848,0.74808,5
7343984,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,49,Loss,6,22,22,50000,1,5,0,None,0.910314,0.089686,0,4
7343992,Tires & Wheels,Tires & Wheels,Midwest,Fields Sales,5,Loss,4,66,66,40000,1,1,0,Unknown,0.38914,0.61086,0,3
7344027,Replacement Parts,Car Accessories,Pacific,Fields Sales,20,Loss,2,51,51,50000,1,1,0,Unknown,1,0,0,4
7344069,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,55,Loss,4,16,16,100000,1,1,0,Unknown,0.306748,0.453988,0.239264,5
7346614,Garage & Car Care,Car Accessories,Pacific,Reseller,71,Won,1,0,0,5441,1,1,0,Unknown,0,0,0,1
7346643,Performance Parts,Performance & Non-auto,Pacific,Reseller,44,Loss,2,27,27,15501,1,1,0,Unknown,1,0,0,2
7346648,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Loss,2,27,27,116261,1,1,0,Unknown,0,1,0,5
7346658,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,57,Loss,2,14,14,18404,1,1,0,Unknown,0,1,0,2
7346665,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,43,Loss,4,25,25,15338,1,1,0,Unknown,0,1,0,2
7346686,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,57,Loss,2,14,14,12269,1,1,0,Unknown,0,1,0,2
